bbmpLmsId,name,zone,lat,lon,latRaw,lonRaw,coordNote,url,source
85,Harohalli Lake,Yelahanka,13.138389,77.577444,13.138389,77.577444,,https://lms.bbmpgov.in/viewlakenew/85,bbmp-lms
86,Agara Lake,Bommanahalli,12.922611,77.641806,12.922611,77.641806,,https://lms.bbmpgov.in/viewlakenew/86,bbmp-lms
87,Avalahalli Lake,Yelahanka,13.13985,77.568308,13.13985,77.568308,,https://lms.bbmpgov.in/viewlakenew/87,bbmp-lms
88,Somasundra Palya Lake,Bommanahalli,12.898361,77.647944,12.898361,77.647944,,https://lms.bbmpgov.in/viewlakenew/88,bbmp-lms
89,Ramagondanahalli Lake,Yelahanka,13.118972,77.553306,13.118972,77.553306,,https://lms.bbmpgov.in/viewlakenew/89,bbmp-lms
90,Veerasagara Lake,Yelahanka,13.102139,77.556361,13.102139,77.556361,,https://lms.bbmpgov.in/viewlakenew/90,bbmp-lms
91,Garveybhavipalya Lake,Bommanahalli,12.89625,77.637056,12.89625,77.637056,,https://lms.bbmpgov.in/viewlakenew/91,bbmp-lms
93,Attur Lake,Yelahanka,13.11125,77.561972,13.11125,77.561972,,https://lms.bbmpgov.in/viewlakenew/93,bbmp-lms
95,Kengeri Lake,RR Nagar,12.947,77.461,12.94700,77.46100,,https://lms.bbmpgov.in/viewlakenew/95,bbmp-lms
96,Busegowdana lake,RR Nagar,12.964,77.458,12.96400,77.45800,,https://lms.bbmpgov.in/viewlakenew/96,bbmp-lms
97,Basavanapura Lake,Bommanahalli,12.844556,77.589167,12.844556,77.589167,,https://lms.bbmpgov.in/viewlakenew/97,bbmp-lms
98,Gottigere Lake,Bommanahalli,,,12.852684,77.90227,"outside Bengaluru, likely a typo",https://lms.bbmpgov.in/viewlakenew/98,bbmp-lms
99,Subbarayana Lake,Bommanahalli,12.863472,77.584806,12.863472,77.584806,,https://lms.bbmpgov.in/viewlakenew/99,bbmp-lms
