rauId,annexure,list,status,serial,tankNo,name,zone,taluk,areaHa,condition,landUse,recommendation,agency,page,source
a4-32,4,city,live,32,275,Madivalea Tank rane,Between Hosur Road and Mysore Road,,114.16,"The tank is within BIM Park & schene of BDA, This is a open tuajor tank with standing spaces,water water, The atchkat is sheet reproposed for development tained, in BEM scheme",,"Poreshore planting. Watersnheet to be preserved, Tourist fecilities may be provided by KSTDC",Forest Dept.& KSTRC,57,rau-1986
a4-33,4,city,live,33,238,Kodagikere Shingasandra,Between Hosur Road and Mysore Road,,8.71,"The tank is located near Park and Shingasandra village open elor, Hosur Road. spaces",,Foreshore plenuting. To develop tree park when the surrounding area gets devaloped,Forest Dept,57,rau-1986
a4-34,4,city,live,34,771,ASlahalli Tank,Between Hosur Road and Mysore Road,,6.1,"The tank is located in the Residentialanterior area near Ala- details not halli and west of Banner- worked out, ghatta Road",,To develop tree park,Forest Dept,57,rau-1986
a4-35,4,city,live,35,768,Subberayenakere Doddakalasandra,Between Hosur Road and Mysore Road,,1.13,"fhe tank is located in -dothe interior and is a enali, one",,To develop as tree park,Forest Dept,57,rau-1986
a4-36,4,city,live,36,767,Machikeore Doddakalasandra,Between Hosur Road and Mysore Road,,8.87,The tank is located near industrial area along Kanazeapura Road (towards east),Park & open spaces,Foreshore planting to develop tree park when the surroumding area gets developed,Forest Dept,58,rau-1986
a4-37,4,city,live,37,269,Ronenekunte tank,Between Hosur Road and Mysore Road,,3.71,The tank is located near industrial area along Kanokapurea Road,Parké& open spaces,To develop as tree park,Forest Dept,58,rau-1986
a4-38,4,city,live,38,268,Chunchugnatta tank,Between Hosur Road and Mysore Road,,8.25,The tank is located near Regional park between Kenekopure Road and Bannerghatta Road,Park & open spaces,fo develop as Regional park with water sheet,Forest Dept,58,rau-1986
a4-39,4,city,live,39,257,Kothnur tank,Between Hosur Road and Mysore Road,,6.78,The tank is located near the Regional park between Kanakepure Road and Bennerghettea Road,Park & open spaces,"Foreshore plenting, to develop tree park when the surrounding ares, gets developed",Forest Dept,58,rau-1986
a4-40,4,city,live,40,265,Tank south of Bilakeanahalli,Between Hosur Road and Mysore Road,,4.55,"The tank is located along Bannerghattea road and is a small one. Revelopments have come up towards south of the tank, near proposed Regional park",Park & open spaces,To develop tree park,Forest Dept,58,rau-1986
a4-41,4,city,live,41,264,Tank between Hulimavu & Arakere,Between Hosur Road and Mysore Road,,15.16,The tank is located between Hulimavu & Arakere and is abutting Banneraghatte Road There is a huge rock cave to-~ wards south of the tank. Be,Park & open spaces,Foreshore planting. Watersheet to be retained,Forest Dept,58,rau-1986
a4-42,4,city,live,42,273,Tank north of Doresanipalya,Between Hosur Road and Mysore Road,,20.64,The tank is located towards west of Bannerghatta Road and south of Sarakki layout. The tank bund is in good condition. There are a few developments in the atchkat Brea,Park & open spaces,Foreshore plenting watersheet to be retained,Forest Dept,59,rau-1986
a4-43,4,city,live,43,722,Kasimkhantnoe xeré Gublal,Between Hosur Road and Mysore Road,,6.08,The tank is located towards north of Gublal village aizng Subramanyapura village Road,Park & open spaces,Foreshore planting. To develop tree park when the surrounding area gets deve~ Loped,Forest Dept,59,rau-1986
a4-44,4,city,live,44,721,Ve nkatpanakere Uttarahalli,Between Hosur Road and Mysore Road,,7.10,The tank is located near Uttarahalli village,Perk and open spaces,Foreshore planting. To develop tree park when the surrounding area gets develeped,Forest Dept,59,rau-1986
a4-45,4,city,live,45,720,Dorekere Uttarahalli,Between Hosur Road and Mysore Road,,14.61,do,dow,do,Forest Dept,59,rau-1986
a4-46,4,city,live,46,718,Janardhanakere Vasanthapura,Between Hosur Road and Mysore Road,,2.58,The tank is located towards east of Vasanthapura. The tank is a small one,Park and open spaces,To develop tree park,Forest Dept,59,rau-1986
a4-47,4,city,live,47,,TtT Annappanakere,Between Hosur Road and Mysore Road,,2.90,"The tank is located near Yelchenahalli along Karakapura Road, The tanh is a small one",Part of layout,To develop tree park,Forest Dept,59,rau-1986
a4-48,4,city,live,48,741,Govindanaikana kere paris,Between Hosur Road and Mysore Road,,32.25,The tank is located towards east of Jaragananalli and nag got pproch mad fon Kanakapura Road,Park & open spaces,Foreshore Forest planting Dept wat ersneet B to be retained,& W.S.S.B,60,rau-1986
a4-49,4,city,live,49,712,Mogakere Uttaranelli,Between Hosur Road and Mysore Road,,7.10,The tank is located near Uttarahalli and along Uttaronalli.Kengem oad,Park & open spaces,Foreshore planting. To develop tree park when the surrounding area gets deva- Loped,Forest Dept,60,rau-1986
