source,slNo,parcelIndex,zone,zoneRaw,lakeName,taluk,nameTalukRaw,village,surveyNumbers,villageSurveyRaw,acres,guntas,areaAcres,status,statusRaw,problem
bbmp-custody,61,0,Mahadevapura,Mahadevpura Zone,Kundalahalli Lake,,Kundalahalli Lake,Kundalahalli,5,Kundalahalli-05,30,20,30.5,developed,Developed lake,
bbmp-custody,63,0,Bommanahalli,Bommanahalli Zone,Kodige Singasandra Lake,,Kodige Singasandra Lake,Singasandra,69,Singasandra-69,10,23,10.575,developed,Developed lake,
bbmp-custody,64,0,Bommanahalli,Bommanahalli Zone,Basapura Lake-1,Bangalore South,Basapura Lake-1/ Bangalore South,Basapura,15,Basapura-0015,9,34,9.85,developed,Developed lake,
bbmp-custody,64,1,Bommanahalli,Bommanahalli Zone,Basapura Lake-1,Bangalore South,Basapura Lake-1/ Bangalore South,Singasandra,52,Singasandra-52,1,8,1.2,developed,Developed lake,
bbmp-custody,65,0,Mahadevapura,Mahadevapura,Devarabeesanahalli Lake,,Devarabeesanahalli Lake,Devarabeesanahalli,18,Devarabeesanahalli - 18,13,31,13.775,developed,Developed lake,
bbmp-custody,66,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Mallathahalli lake,Bangalore North,Mallathahalli lake / Bangalore North,Mallathahalli,101,Mallathahalli-101,51,5,51.125,work in progress,Work in progress,
bbmp-custody,66,1,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Mallathahalli lake,Bangalore North,Mallathahalli lake / Bangalore North,Mallathahalli,26,Mallathahalli-26,1,9,1.225,work in progress,Work in progress,
bbmp-custody,66,2,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Mallathahalli lake,Bangalore North,Mallathahalli lake / Bangalore North,Giddadakonehalli,6,Giddadakonehalli -6,20,8,20.2,work in progress,Work in progress,
bbmp-custody,67,0,South,Bangalore South Zone,Nayadahalli Lake,Bangalore South,Nayadahalli Lake Bangalore South,Nayadahalli,31,Nayadahalli-31,13,9,13.225,work in progress,Work in progress,
bbmp-custody,68,0,Yelahanka,Yelahanka Zone,Harohalli lake,Bangalore North (Additional),Harohalli lake Bangalore North Addl,Harohalli,91,Harohalli-91,74,32,74.8,work in progress,Work in progress,
bbmp-custody,69,0,Mahadevapura,Mahadevpura Zone,Garudachar Palya Lake,,Garudachar Palya Lake,Mahadev pura,31,Mahadev pura-31,5,36,5.9,work in progress,Work in progress,
bbmp-custody,70,0,Bommanahalli,Bommanahalli Zone,Ibblur Lake,,Ibblur Lake,Ibbalur,36,Ibbalur-0036,18,6,18.15,work in progress,Work in progress,
bbmp-custody,71,0,Mahadevapura,Mahadevapura,Cikkabasavanapura Lake,,Cikkabasavanapura Lake,Basavanapura,14,Basavanapura-14,14,7,14.175,work in progress,Work in progress,
bbmp-custody,72,0,Bommanahalli,Bommanahalli Zone,Kalena Agrahara Lake,,Kalena Agrahara Lake,Kalena Agrahara,43,Kalena Agrahara- 0043,7,30,7.75,work in progress,Work in progress,
bbmp-custody,73,0,Bommanahalli,Bommanahalli Zone,Begur Lake,,Begur Lake,Begur,94,Begur-0094,137,24,137.6,work in progress,Work in progress,
bbmp-custody,74,0,Bommanahalli,Bommanahalli Zone,Gottigere,,Gottigere,Gottigere,71,Gottigere-0071,37,13,37.325,work in progress,Work in progress,
bbmp-custody,76,0,Bommanahalli,Bommanahalli Zone,Sarakki/Jaraganahalli/Puttenahalli Lake,,Sarakki/Jaraganahalli/Puttenahalli Lake,Sarakki,26,Sarakki-26,38,0,38.0,work in progress,Work in progress,
bbmp-custody,76,1,Bommanahalli,Bommanahalli Zone,Sarakki/Jaraganahalli/Puttenahalli Lake,,Sarakki/Jaraganahalli/Puttenahalli Lake,Puttenahalli,5,Puttenahalli -5,6,10,6.25,work in progress,Work in progress,
bbmp-custody,76,2,Bommanahalli,Bommanahalli Zone,Sarakki/Jaraganahalli/Puttenahalli Lake,,Sarakki/Jaraganahalli/Puttenahalli Lake,Jaraganahalli,7,Jaraganahalli-7,38,14,38.35,work in progress,Work in progress,
bbmp-custody,77,0,Bommanahalli,Bommanahalli Zone,Annappanakere / Yelchenahalli Lake,,Annappanakere / Yelchenahalli Lake,,6,"06,",6,32,6.8,work in progress,Work in progress,
bbmp-custody,78,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Vishwaneedum Lake,,Vishwaneedum Lake,Herohalli,50,Herohalli - 50,4,34,4.85,work in progress,Work in progress,
bbmp-custody,79,0,Mahadevapura,Mahadevapura Zone,Hormavu Agara Lake,,Hormavu Agara Lake,Hormavu Agara,77,Hormavu Agara - 77,51,34,51.85,work in progress,Work in progress,
bbmp-custody,80,0,Yelahanka,Yelahanka zone,Singapura Lake,,Singapura Lake,Singapura,102,Singapura-102,66,18,66.45,work in progress,Work in progress,
bbmp-custody,81,0,Mahadevapura,Mahadevapura Zone,Bhattarahalli Lake,,Bhattarahalli Lake,Bhattarahalli,2,Bhattarahalli - 2,18,10,18.25,work in progress,Work in progress,
bbmp-custody,82,0,Mahadevapura,Mahadevapura Zone,Sadaramangala Lake,,Sadaramangala Lake,Sadaramangala kere,61,Sadaramangala kere-61,51,4,51.1,work in progress,Work in progress,
bbmp-custody,82,1,Mahadevapura,Mahadevapura Zone,Sadaramangala Lake,,Sadaramangala Lake,Kodagehalli,8,Kodagehalli-8,1,17,1.425,work in progress,Work in progress,
bbmp-custody,83,0,Mahadevapura,Mahadevapura Zone,Siddapura Lake,,Siddapura Lake,Siddapura,18,Siddapura - 18,27,35,27.875,work in progress,Work in progress,
bbmp-custody,84,0,Dasarahalli,Dasarahalli,Bagalgunte Lake,,Bagalgunte Lake,Bagalgunte,113,Bagalgunte -113,10,14,10.35,work in progress,Work in progress,
bbmp-custody,85,0,Mahadevapura,Mahadevapura Zone,Vibhuthipura kere,,Vibhuthipura kere,Vibhuthipura,175,Vibhuthipura-175,45,18,45.45,work in progress,Work in progress,
bbmp-custody,86,0,Mahadevapura,Mahadevapura Zone,K R Puram (BEML),,K R Puram (BEML),Benniganahalli,47,Benniganahalli-47,18,25,18.625,work in progress,Work in progress,
bbmp-custody,87,0,Bommanahalli,Bommanahalli,Haralakunte Lake (Somasandrakere),,Haralakunte Lake (Somasandrakere),Haralakunte,51,Haralakunte-0051,16,29,16.725,work in progress,Work in progress,
bbmp-custody,88,0,Bommanahalli,Bommanahalli,Anjanapura Lake / Alahalli,,Anjanapura Lake / Alahalli,Alahalli,30,Alahalli-0030,21,25,21.625,work in progress,Work in progress,
bbmp-custody,89,0,Mahadevapura,Mahadevapura,Hoodi kere,,Hoodi kere,Hoodi,79,Hoodi-79,15,10,15.25,work in progress,Work in progress,
bbmp-custody,90,0,Mahadevapura,Mahadevapura,Bhoganahalli Lake,,Bhoganahalli Lake,Bhoganahalli,21,Bhoganahalli - 21,12,24,12.6,work in progress,Work in progress,
bbmp-custody,91,0,Mahadevapura,Mahadevapura,Panathur lake,,Panathur lake,Panathur,38,Panathur -38,25,17,25.425,work in progress,Work in progress,
bbmp-custody,92,0,Mahadevapura,Mahadevapura,Hoodi Giddanakere,,Hoodi Giddanakere,Hoodi,138,Hoodi-138,28,31,28.775,work in progress,Work in progress,
bbmp-custody,93,0,Bommanahalli,Bommanahalli,Byraweshwara nagara,,Byraweshwara nagara,Chunchaghatta,70,Chunchaghatta- 0070,23,9,23.225,tender in process,Tender in Process,
bbmp-custody,94,0,Mahadevapura,Mahadevapura,Kaggadasapura Lake,,Kaggadasapura Lake,Kaggadasapura,141,Kaggadasapura - 141,50,26,50.65,to be developed,To Be Developed,
bbmp-custody,94,1,Mahadevapura,Mahadevapura,Kaggadasapura Lake,,Kaggadasapura Lake,Bendiganahalli,5,Bendiganahalli - 5,50,26,50.65,to be developed,To Be Developed,
