id,records,species,birdRecords,birdSpecies,firstYear,lastYear,recordsLast5Years,topBirds,datasets,ebirdShare,source
puttenahalli-kunte-5,0,0,0,0,,,0,,,,gbif-2026-09
puttenahalli-kunte1,3,3,3,3,2019,2019,0,Ardeola grayii (Indian Pond-Heron);Columba livia (Rock Pigeon);Dicrurus macrocercus (Black Drongo),EOD – eBird Observation Dataset,1.0,gbif-2026-09
puttenahalli-kunte2,0,0,0,0,,,0,,,,gbif-2026-09
puttenahalli-kunte4,0,0,0,0,,,0,,,,gbif-2026-09
puttenahalli-lake,15994,285,15644,152,2004,2026,11993,Ardea cinerea (Gray Heron);Porphyrio porphyrio (Western Swamphen);Ardeola grayii (Indian Pond-Heron);Milvus migrans (Black Kite);Egretta garzetta (Little Egret);Anhinga melanogaster (Oriental Darter);Threskiornis melanocephalus (Black-headed Ibis);Microcarbo niger (Little Cormorant);Psilopogon viridis (White-cheeked Barbet);Prinia socialis (Ashy Prinia),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;India Biodiversity Portal publication grade dataset,0.967,gbif-2026-09
puttenahalli-lake-2,11125,255,10366,125,2005,2026,2795,Porphyrio porphyrio (Western Swamphen);Ardeola grayii (Indian Pond-Heron);Fulica atra (Eurasian Coot);Milvus migrans (Black Kite);Halcyon smyrnensis (White-throated Kingfisher);Tachybaptus ruficollis (Little Grebe);Haliastur indus (Brahminy Kite);Prinia socialis (Ashy Prinia);Microcarbo niger (Little Cormorant);Vanellus indicus (Red-wattled Lapwing),EOD – eBird Observation Dataset;India Biodiversity Portal publication grade dataset;iNaturalist Research-grade Observations,0.918,gbif-2026-09
rabbanahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
rabbanahalli-kere-2,0,0,0,0,,,0,,,,gbif-2026-09
rabbanahalli-kere-3,0,0,0,0,,,0,,,,gbif-2026-09
rabbanahalli-kere-4,0,0,0,0,,,0,,,,gbif-2026-09
rachamanahalli-lake,0,0,0,0,,,0,,,,gbif-2026-09
rachamanahalli-north-lake,0,0,0,0,,,0,,,,gbif-2026-09
rachenahalli-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
rachenahalli-lake,10414,190,10358,146,2012,2026,6063,Milvus migrans (Black Kite);Ardeola grayii (Indian Pond-Heron);Haliastur indus (Brahminy Kite);Eudynamys scolopaceus (Asian Koel);Psittacula krameri (Rose-ringed Parakeet);Microcarbo niger (Little Cormorant);Corvus macrorhynchos (Large-billed Crow);Phalacrocorax carbo (Great Cormorant);Prinia socialis (Ashy Prinia);Pelecanus philippensis (Spot-billed Pelican),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;India Biodiversity Portal publication grade dataset,0.989,gbif-2026-09
raghunathpura-kere,0,0,0,0,,,0,,,,gbif-2026-09
raghuvanapalya-kunte,0,0,0,0,,,0,,,,gbif-2026-09
ragihalli,4235,164,4227,157,2014,2024,2817,Spilopelia chinensis (Spotted Dove);Merops orientalis (Green Bee-eater);Spilopelia senegalensis (Laughing Dove);Pycnonotus jocosus (Red-whiskered Bulbul);Psittacula krameri (Rose-ringed Parakeet);Pycnonotus cafer (Red-vented Bulbul);Saxicoloides fulicatus;Psilopogon haemacephalus (Coppersmith Barbet);Vanellus indicus (Red-wattled Lapwing);Psilopogon viridis (White-cheeked Barbet),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.998,gbif-2026-09
ragihalli-lake,360,107,360,107,2019,2024,211,Spilopelia senegalensis (Laughing Dove);Pycnonotus cafer (Red-vented Bulbul);Saxicoloides fulicatus;Spilopelia chinensis (Spotted Dove);Merops orientalis (Green Bee-eater);Vanellus indicus (Red-wattled Lapwing);Cinnyris asiaticus (Purple Sunbird);Haliastur indus (Brahminy Kite);Saxicola caprata (Pied Bushchat);Acridotheres tristis (Common Myna),EOD – eBird Observation Dataset,1.0,gbif-2026-09
rajaghatta-kere,660,85,660,85,2022,2025,660,Fulica atra (Eurasian Coot);Porphyrio porphyrio (Western Swamphen);Ardea purpurea (Purple Heron);Ardeola grayii (Indian Pond-Heron);Ardea cinerea (Gray Heron);Microcarbo niger (Little Cormorant);Egretta garzetta (Little Egret);Halcyon smyrnensis (White-throated Kingfisher);Gallinula chloropus (Eurasian Moorhen);Egretta intermedia (Intermediate egret),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.997,gbif-2026-09
rajamahal-kere,1,1,0,0,2018,2018,0,,iNaturalist Research-grade Observations,0.0,gbif-2026-09
rajamahal-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
rajamahal-kunte2,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-1,8,7,8,7,2022,2024,8,Acridotheres tristis (Common Myna);Aquila clanga (Greater spotted eagle);Cecropis daurica (Eastern Red-rumped Swallow);Corvus macrorhynchos (Large-billed Crow);Corvus splendens (House Crow);Milvus migrans (Black Kite);Passer domesticus (House Sparrow),EOD – eBird Observation Dataset,1.0,gbif-2026-09
rajanakunte-2,1,1,1,1,2024,2024,1,Columba livia (Rock Pigeon),EOD – eBird Observation Dataset,1.0,gbif-2026-09
rajanakunte-3,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-4,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-5,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-6,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-7-new,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-8,0,0,0,0,,,0,,,,gbif-2026-09
rajanakunte-9,0,0,0,0,,,0,,,,gbif-2026-09
rajapalya-hoodikere,959,91,957,89,2017,2024,257,Tachybaptus ruficollis (Little Grebe);Ardeola grayii (Indian Pond-Heron);Milvus migrans (Black Kite);Vanellus indicus (Red-wattled Lapwing);Acridotheres tristis (Common Myna);Fulica atra (Eurasian Coot);Motacilla maderaspatensis (White-browed Wagtail);Prinia socialis (Ashy Prinia);Psittacula krameri (Rose-ringed Parakeet);Spilopelia chinensis (Spotted Dove),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.998,gbif-2026-09
ramachandrapura-katte,0,0,0,0,,,0,,,,gbif-2026-09
ramadevanahalli-lake,0,0,0,0,,,0,,,,gbif-2026-09
ramagondanahalli-kunte,6,6,6,6,2024,2024,6,Columba livia (Rock Pigeon);Corvus macrorhynchos (Large-billed Crow);Corvus splendens (House Crow);Dicaeum erythrorhynchos (Pale-billed Flowerpecker);Milvus migrans (Black Kite);Ptyonoprogne concolor (Dusky Crag-Martin),EOD – eBird Observation Dataset,1.0,gbif-2026-09
ramagondanahalli-kunte-1,0,0,0,0,,,0,,,,gbif-2026-09
ramagondanahalli-kunte-2,0,0,0,0,,,0,,,,gbif-2026-09
ramagonddanahalli-kere,2636,132,2634,130,2020,2026,1933,Porphyrio porphyrio (Western Swamphen);Dicrurus macrocercus (Black Drongo);Vanellus indicus (Red-wattled Lapwing);Merops orientalis (Green Bee-eater);Milvus migrans (Black Kite);Halcyon smyrnensis (White-throated Kingfisher);Ardea cinerea (Gray Heron);Prinia socialis (Ashy Prinia);Psittacula krameri (Rose-ringed Parakeet);Acridotheres tristis (Common Myna),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.999,gbif-2026-09
ramakrishnapura-lake,1626,93,1624,92,2022,2024,1626,Acridotheres tristis (Common Myna);Ardeola grayii (Indian Pond-Heron);Columba livia (Rock Pigeon);Anas poecilorhyncha (Spot-billed duck);Ardea cinerea (Gray Heron);Centropus sinensis (Greater Coucal);Dicrurus macrocercus (Black Drongo);Eudynamys scolopaceus (Asian Koel);Halcyon smyrnensis (White-throated Kingfisher);Leptocoma zeylonica (Purple-rumped Sunbird),EOD – eBird Observation Dataset;Pl@ntNet automatically identified occurrences;Pl@ntNet observations,0.999,gbif-2026-09
ramakrishnapura-lake-2,3495,117,3494,116,2016,2026,3092,Prinia socialis (Ashy Prinia);Eudynamys scolopaceus (Asian Koel);Vanellus indicus (Red-wattled Lapwing);Centropus sinensis (Greater Coucal);Acridotheres tristis (Common Myna);Spilopelia chinensis (Spotted Dove);Pycnonotus jocosus (Red-whiskered Bulbul);Alcedo atthis (Common Kingfisher);Halcyon smyrnensis (White-throated Kingfisher);Dicrurus macrocercus (Black Drongo),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.997,gbif-2026-09
ramanathapura-kere-1,0,0,0,0,,,0,,,,gbif-2026-09
ramanathapura-kere-2,301,78,301,78,2022,2024,301,Fulica atra (Eurasian Coot);Microcarbo niger (Little Cormorant);Tachybaptus ruficollis (Little Grebe);Vanellus indicus (Red-wattled Lapwing);Ceryle rudis (Pied Kingfisher);Egretta garzetta (Little Egret);Psittacula krameri (Rose-ringed Parakeet);Saxicola caprata (Pied Bushchat);Ardeola grayii (Indian Pond-Heron);Egretta intermedia (Intermediate egret),EOD – eBird Observation Dataset,1.0,gbif-2026-09
ramanayakanahalli-kunte-1,0,0,0,0,,,0,,,,gbif-2026-09
ramanayakanahalli-kunte-2,0,0,0,0,,,0,,,,gbif-2026-09
ramapura-kunte,0,0,0,0,,,0,,,,gbif-2026-09
ramasagara-lake,52,38,49,35,2021,2024,42,Columba livia (Rock Pigeon);Tachybaptus ruficollis (Little Grebe);Amaurornis phoenicurus (White-breasted Waterhen);Ceryle rudis (Pied Kingfisher);Gallinula chloropus (Eurasian Moorhen);Halcyon smyrnensis (White-throated Kingfisher);Merops orientalis (Green Bee-eater);Microcarbo niger (Little Cormorant);Motacilla maderaspatensis (White-browed Wagtail);Spilopelia chinensis (Spotted Dove),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.769,gbif-2026-09
ramasandra-kere,2141,125,2138,122,1992,2026,653,Milvus migrans (Black Kite);Tachybaptus ruficollis (Little Grebe);Haliastur indus (Brahminy Kite);Microcarbo niger (Little Cormorant);Pavo cristatus (Indian Peafowl);Prinia socialis (Ashy Prinia);Acridotheres tristis (Common Myna);Psittacula krameri (Rose-ringed Parakeet);Saxicola caprata (Pied Bushchat);Vanellus indicus (Red-wattled Lapwing),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.998,gbif-2026-09
ramasandra-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
ramasandra-kunte2,0,0,0,0,,,0,,,,gbif-2026-09
ramasandra-lake-1,0,0,0,0,,,0,,,,gbif-2026-09
ramaswamypalya-lake,48,24,48,24,2024,2024,48,Acridotheres fuscus (Jungle Myna);Acridotheres tristis (Common Myna);Actitis hypoleucos (Common Sandpiper);Alcedo atthis (Common Kingfisher);Apus affinis (Little Swift);Ardea cinerea (Gray Heron);Ardea purpurea (Purple Heron);Ardeola grayii (Indian Pond-Heron);Columba livia (Rock Pigeon);Corvus macrorhynchos (Large-billed Crow),EOD – eBird Observation Dataset,1.0,gbif-2026-09
ramayyanapalya-kere,0,0,0,0,,,0,,,,gbif-2026-09
ramdevanahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
ramegowdanakere,7,7,7,7,2023,2024,7,Amaurornis phoenicurus (White-breasted Waterhen);Ardeola grayii (Indian Pond-Heron);Ceryle rudis (Pied Kingfisher);Halcyon smyrnensis (White-throated Kingfisher);Microcarbo niger (Little Cormorant);Orthotomus sutorius (Common Tailorbird);Ploceus philippinus (Baya Weaver),EOD – eBird Observation Dataset,1.0,gbif-2026-09
ramohalli-kere,28,24,19,18,2020,2024,27,Acridotheres tristis (Common Myna);Amaurornis phoenicurus (White-breasted Waterhen);Ardea cinerea (Gray Heron);Ardea purpurea (Purple Heron);Centropus sinensis (Greater Coucal);Dicrurus macrocercus (Black Drongo);Halcyon smyrnensis (White-throated Kingfisher);Microcarbo niger (Little Cormorant);Ortygornis pondicerianus (Grey Francolin);Pavo cristatus (Indian Peafowl),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;Pl@ntNet automatically identified occurrences,0.679,gbif-2026-09
ramohalli-kunte-1,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-10,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-2,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-3,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-4,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-6,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-7,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-8,0,0,0,0,,,0,,,,gbif-2026-09
ramohalli-kunte-9,0,0,0,0,,,0,,,,gbif-2026-09
rampalya-kere,1,1,1,1,2022,2022,1,Orthotomus sutorius (Common Tailorbird),iNaturalist Research-grade Observations,0.0,gbif-2026-09
