key,pixelCount,lowConfidence,occurrenceMean,occurrenceMedian,pctEverWater,pctNeverWater,pctPermanent,pctSeasonal,pctSeasonalToPermanent,pctPermanentToSeasonal,pctLostPermanent,pctLostSeasonal,pctNewPermanent,pctNewSeasonal,pctEphemeral,seasonalityMeanMonths,recurrenceMean,changeMean,firstYearWithWater,lastYearWithWater,source
anagalapura-kunte1,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
anagalapura-kunte2,11,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
anantapura-kere,42,False,7.9,0.0,47.6,52.4,0.0,4.8,7.1,0.0,0.0,4.8,14.3,16.7,0.0,3.4,71.1,65.7,1988,2021,jrc-gsw-1-5
ananthapura-kunte,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
ananthapura-kunte1,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
ananthapura-kunte2,12,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
andhrahalli-lake,60,False,24.9,29.5,71.7,28.3,0.0,6.7,0.0,0.0,0.0,3.3,0.0,50.0,11.7,2.1,77.3,-12.7,1988,2021,jrc-gsw-1-5
annamma-kere,24,False,7.5,0.0,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,4.2,29.2,4.2,1.8,72.2,31.7,1989,2021,jrc-gsw-1-5
antarahalli-kere,136,False,3.2,2.0,58.8,41.2,0.0,0.7,0.0,0.0,0.0,8.1,0.0,19.9,27.2,0.3,35.8,-35.6,1992,2021,jrc-gsw-1-5
anurah-katte-newly-created,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
aradeshanahalli-kere,1331,False,11.7,6.0,77.6,22.4,0.0,22.5,13.5,0.0,0.0,36.2,0.0,0.9,1.7,2.6,52.2,-53.3,1988,2021,jrc-gsw-1-5
aradeshanahalli-kere-2,322,False,3.6,0.0,42.2,57.8,0.0,3.1,0.0,0.0,0.0,13.4,0.0,3.7,3.1,0.2,64.4,68.5,1988,2021,jrc-gsw-1-5
aralakunte,19,False,3.5,0.0,31.6,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,26.3,0.1,58.8,97.2,1993,2021,jrc-gsw-1-5
aralamallige-kere,2320,False,2.9,0.0,36.4,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,34.7,0.0,47.1,-33.8,1989,2021,jrc-gsw-1-5
arasanahalli-lake,255,False,11.2,4.0,56.5,43.5,0.0,8.6,0.0,0.0,0.0,22.7,0.0,0.4,15.3,0.2,56.3,61.5,1988,2021,jrc-gsw-1-5
arebommanahalli-2r,31,False,0.7,0.0,6.5,93.5,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,65.5,56.0,2020,2020,jrc-gsw-1-5
arebommanahalli-low,28,False,1.0,0.0,21.4,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.8,100.0,100.0,,,jrc-gsw-1-5
arebommanahalli-up-kere,59,False,11.9,0.0,45.8,54.2,0.0,20.3,1.7,0.0,0.0,3.4,0.0,20.3,0.0,2.1,77.2,35.2,1988,2021,jrc-gsw-1-5
arehalii-kere,1018,False,3.1,0.0,44.1,55.9,0.0,5.2,0.6,0.0,0.0,38.2,0.0,0.0,0.1,0.2,43.5,-27.2,1988,2006,jrc-gsw-1-5
arehalli-kere,40,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
arehalli-kunte,5,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
arehalli-lake,243,False,3.0,3.0,69.5,30.5,0.0,0.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,0.0,56.3,-47.3,1988,2008,jrc-gsw-1-5
arehalli-lake-2,103,False,5.9,0.0,30.1,69.9,0.0,22.3,0.0,0.0,0.0,6.8,0.0,1.0,0.0,0.5,59.6,23.1,1988,2021,jrc-gsw-1-5
arekere-lake,90,False,6.4,0.0,46.7,53.3,0.0,3.3,0.0,0.0,0.0,2.2,0.0,38.9,2.2,1.6,63.2,70.4,1989,2021,jrc-gsw-1-5
arekere-lake-2,57,False,7.2,0.0,40.4,59.6,0.0,3.5,0.0,0.0,0.0,7.0,0.0,19.3,8.8,0.5,75.9,65.8,1988,2021,jrc-gsw-1-5
arenur-kere,126,False,4.2,3.0,64.3,35.7,0.0,0.8,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,48.5,-20.4,1988,2018,jrc-gsw-1-5
arjunabettahalli-kere,18,False,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
arluru-kere-s,85,False,13.0,11.0,74.1,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,8.2,0.9,69.5,71.9,1992,2021,jrc-gsw-1-5
asirvanam-ashram-1,20,False,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
asirvanam-ashram-2,9,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
attibele-kere,99,False,11.9,12.0,70.7,29.3,0.0,10.1,0.0,2.0,0.0,9.1,0.0,34.3,15.2,0.9,57.6,47.7,1988,2021,jrc-gsw-1-5
attur-kere,258,False,1.9,0.0,49.6,50.4,0.0,41.1,0.0,0.0,0.0,7.4,0.0,1.2,0.0,1.0,27.3,-23.0,1988,2001,jrc-gsw-1-5
atturu-kere,378,False,2.2,0.0,27.0,73.0,0.0,5.6,4.8,0.0,0.0,2.9,4.8,5.3,3.7,1.6,54.4,24.7,1988,2020,jrc-gsw-1-5
atturu-kunte,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avadenahlli-lake,133,False,4.9,3.0,80.5,19.5,0.0,1.5,0.0,0.0,0.8,71.4,0.0,2.3,0.0,0.1,42.0,-51.5,1988,2018,jrc-gsw-1-5
avalahali-kunte,5,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-katte1,12,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-katte2,7,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-kere,53,False,11.9,8.0,75.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,13.2,1.4,68.2,80.0,1996,2021,jrc-gsw-1-5
avalahalli-kere-2,68,False,2.6,0.0,42.6,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,0.0,40.9,43.4,1992,2020,jrc-gsw-1-5
avalahalli-kere-3,10,True,4.2,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.7,68.4,100.0,2000,2021,jrc-gsw-1-5
avalahalli-kunte-1,3,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
avalahalli-kunte-2,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
