empriNo,empriCode,name,nameOther,kind,status,statusText,regime,regimeText,district,taluk,hobli,village,lat,lon,latText,lonText,custodian,extentAcres,extentText,extentApprox,extentBasis,surveyNumbers,surveyNoText,year,yearText,rejuvenated,elevationM,maxDepthM,islands,inletDrains,wasteWeirs,sluiceGates,culverts,checkDams,fenceType,surroundingArea,presentStatus,waterUsage,convertedTo,convertedBy,visitDate,researcherVerified,remarks,waterSampled,waterSampleNote,sewageInflowCumecs,vegetationCover,vegetationType,aquaticFlora,fauna,visitingAnimals,encroachmentDirection,encroachedBy,encroachedFor,encroachmentPct,encroachmentKoliwadText,encroachmentKoliwadAcres,dumpingDirection,dumpingType,sewageInflow,pollutant,weeds,otherIssues,pdf,pdfPage,source,tables,coordProblem,fenceTypeText,presentStatusText,waterUsageText,vegetationCoverText,weedsText,vegetationTypeText,aquaticFloraText,faunaText,visitingAnimalsText,convertedByText,encroachedByText,encroachmentDirectionText,dumpingDirectionText,sewageInflowText,surroundingAreaText,convertedToText,encroachedForText,dumpingTypeText,pollutantText,custodianText,atlasCode,atlasName,atlasMiTankRegNo,atlasYearCreated,atlasYearRejuvenated,atlasPreservationAuthority,atlasTotalExtentText,atlasSourceOfWater,atlasUpstream,atlasDownstream,atlasCatchment,atlasRoads,atlasDrinkingWater,atlasWashing,atlasBathing,atlasLivestock,atlasIrrigation,atlasFishing,atlasCultural,atlasRecreation,atlasOtherUses,atlasAmphibians,atlasReptiles,atlasMammals,atlasDirectPollutants,atlasIndirectPollutants,atlasSewageInflowCumecs,atlasEncroachment,atlasSoilExcavation,atlasStrategies,atlasPage
1310,BUBSKGvlg_ku2-1307,Valagerahalli kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Kengeri,Valagerahalli,12.922583,77.495833,12° 55' 21.3ʺ,77° 29' 45.0ʺ,BBMP,0.175,0.07,False,,79,In Sy no79,1904,1904,,800.0,,,,,,,,,Road & vacant land,,,Road & vacant land,government,2016-09-27,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,Road & vacant land,Road & Vacant land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,BUBSKGvlg_kr3-1308,Bandimatta Hosa kere,Hosa kere,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Kengeri,Valagerahalli,12.923194,77.480861,12° 55'23.5ʺ,77°28' 51.1ʺ,BDA,54.35,54.14,False,,16,16,1974,1974,,808.0,5.0,0,5,1,1,1,0,mesh,"Layout, coconut plantation, temple settlement",polluted,none,,,2017-01-13,False,,False,Dry,,partial,growing on bank,emergent,butterflies;dragonflies,none,E;SE;SW,private;public,"Houses, temple",8,No data,,E;SE,"Garbage, construction debris & plastic",N,Sewage,complete,Soil excavation,vol2_south,25,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,No,Partially,Complete,Growing on Bank,Emergent,Bf. & Dr.fly,No,,Private & Public,"E, SE & SW",E & SE,North,"layout, coconut plant., temple settlment",,"Houses, Temple","Garbage, CD & Plastic",Sewage,BDA,BUBSKGvlg_kr3-1308,Bandimatta Hosakere,,≈1974,,BDA,54.14,Rain & drain fed,Mallathahalli lake,Vrishabhavathi River,Urban,2,,,,,,,,,,,,,"Dumping of garbage waste, construction debris & plastic waste",Sewage,No Flow through Storm water drain,Houses & temple (8%),Yes,"Garbage waste, Construction debris: Fence the lake and create awareness;Encroachment: Survey by consent Authority & evict the encroachment",196
1312,BUBSKGvrs_kr1-1309,Narasapana kere,Varahasandra lake,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Kengeri,Varahasandra,12.881167,77.491833,12°52ʹ52.2ʺ,77°29ʹ30.6ʺ,BDA,17.5,17.20,False,,24 (Varahasandra);4 (Hemmigepura),24 (Varahasandra) & 4 (Hemmigepura),1966,1966,,803.0,3.0,0,1,1,1,1,0,wall,"Agriculture, vacant land & niceraod",clean,irrigation,,,2016-01-29,False,,True,,,partial,growing on bank,emergent;submerged,birds;butterflies,none,NE;SE,NICE,NICE road,40,3.38,3.95,none,none,none,none,partial,"Borwell, Idol immersion & As per RTC, KIADB leased to NICEL for 40 yrs",vol2_south,25,empri-2018,main;waterQuality;issues;atlas,,Wall,Clean,Irrigation,Partially,Partially,Growing on Bank,E & S,B & B.fly,No,,NICE,NE & SE,No,No,"A, Vl. & NICEraod",,NICE Road,No,No,BDA,BUBSKGvrs_kr1-1309,Narasapana Kere,,≈1966,,BDA,17.20,Rain & drain fed,,Varahasandra Kere,Agriculture area,1,,,,,Yes,,Yes (idol immersion),,,,,,,,,NICE road,,Encroachment: Survey by consent Authority & evict the encroachment,198
1313,BUBSKGvrs_gk2-1310,Varahasandra kunte1,Karabgudda,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Kengeri,Varahasandra,12.876389,77.491278,12° 52' 35.0ʺ,77° 29' 28.6ʺ,BBMP,2.2,2.08,False,,36,36,1967,1967,,820.0,,,,,,,,,"House, NICE road & vacant land",,,House & NICE road,private;government,2016-09-27,False,,False,,,,,,,,,,,,,,,,,,,As per RTC land is leased to NICEL,vol2_south,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Priv. & Govt.,,,,,"house, NICE road & vacant land",House & NICE road,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,BUBSKGvrs_ku3-1311,Varahasandra kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Kengeri,Varahasandra,12.871556,77.489389,12° 52' 17.6ʺ,77° 29' 21.8ʺ,BBMP,0.625,0.25 (SSLR,False,SSLR,6,In Sy no 6,1967,1967,,799.0,,,,,,,,,NICE road & agriculture land,,,NICE road & agriculture land,government;farmers,2016-09-27,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Govt. &Farm.,,,,,NICE road & agricultural land,NICE road & Agri. land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,BUBSKGvkp_ku1-1312,Venkatapura kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Kengeri,Venkatapura,12.886028,77.469889,12° 53' 09.7ʺ,77° 28' 11.6ʺ,BDA,0.275,0.11,False,,5,In Sy no 5,1957,1957,,782.0,,,,,,,,,Apartments & vacant land,,,Vacant land,unknown,2016-09-24,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,Apartments & vacant land,Vacant land,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,BUBSUHalh_kr1-1313,Alahalli Kere,,kere,existing,Perennial,perennial,Perennial,Bengaluru Urban,Bengaluru South,Uttarahalli,Alahalli,12.867111,77.567028,12°52ʹ01.6ʺ,77°34ʹ01.3ʺ,KFD,21.625,21.25,False,,30 (Alahalli);3 (Gollahalli),30 (Alahalli) & 3 (Gollahalli),1957,1957,,925.0,4.0,0,1,0,1,1,0,mesh,"Settlement, park, vacant land, factory & apartment",polluted,none,,,2016-01-20,False,,True,,,partial,growing on bank,submerged;free floating;rooted floating,birds,none,SE,public,House,0.01,0.17,0.425,E,Garbage waste,NE,Domestic sewage,partial,No,vol2_south,25,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,No,Partially,Partial,Growing on Bank,"S, F.Flo. & R.Flo.",Birds,No,,Public,SE,E,NE,"S, Park, Vl, Factory & Apartment",,House,Garbage waste,Domestic sewage,KFD,BUBSUHalh_kr1-1313,Alahalli Kere,,≈ 1957,,KFD,21.25,Rain & drain fed,,,Urban,2,,,,,,,,,,,,,Dumping of garbage wastes,Sewage,Unable to Measure due to weeds,House (0.01%),,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness;Sewage inflow: Provide UGD and connect it to STP,200
1317,BUBSUHarh_kr1-1314,Arehalli Kere,,kere,existing,Perennial,perennial,Perennial,Bengaluru Urban,Bengaluru South,Uttarahalli,Arehalli,12.914139,77.533944,"12° 54' 50.9""","77° 32' 02.2""",BBMP,7.25,7.10 (SSLR,False,SSLR,28,In Sy no 28,1973,1973,,865.0,2.5,0,1,1,0,0,0,none,"Buildings, ramakrishnamatta, sheds",polluted,none,,,2016-08-25,False,,True,,,partial,growing on bank,emergent,birds;Butterflys,none,SW;NW,public;government,Sheds & road,30,No,,SW;NW,Garbage dump,SW,Sewage,partial,No,vol2_south,26,empri-2018,main;waterQuality;issues;atlas,,No,Polluted,No,Partially,Partial,Growing on bank,Emergent,B & Butterflys,No,,Public & Govt.,"SW, NW","SW, NW",SW,"Buildings, Ramakrishnamatta, Sheds",,Sheds & Road,GD,Sewage,BBMP,BUBSUHarh_kr1-1314,Arehalli Kere,,≈ 1973,,BBMP,7.10,Rain & drain fed,,,Urban,1,,,,,,,,,,,,,Dumping of garbage wastes.,Sewage,No flow through Storm water drain,Sheds & houses (30%),,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness,202
1318,BUBSUHarh_gk2-1315,Arehalli kunte,,katte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Arehalli,12.914528,77.531861,"12° 54' 52.3""","77° 31' 54.7""",BBMP,3.0,3.00 (SSLR,False,SSLR,27,In Sy no 27,1973,1973,,850.0,0.5,0,0,0,0,0,0,none,"Nice road, vacant land, houses, temple",polluted,none,,,2016-08-25,False,,False,Not Sampled,,complete,growing on bank,none,birds;butterflies,none,none,none,none,No,No,,none,none,S,Sewage,complete,No,vol2_south,26,empri-2018,main;waterQuality;issues,,No,Polluted,No,Complete,Complete,Growing on bank,No,B & Butterfly,No,,No,No,No,S,"Nice Road, V. land, Houses, Temple",,No,No,Sewage,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,BUBSUHavh_ku1-1316,Avalahalli kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Avalahalli,12.945083,77.547361,"12° 56' 42.3""","77° 32' 50.5""",BBMP,0.425,0.17,False,,1,In Sy no 1,1903,1903,,885.0,,,,,,,,,"Temple, buildings, Car sheds",,,BMTC bus stop & temple,government;public,2016-08-25,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Govt. & Publ.,,,,,"Temple, Buildings, Car sheds",BMTC Bus Stop & Temple,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,BUBSUHavh_ku2-1317,Avalahalli kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Avalahalli,12.942889,77.537111,"12° 56' 34.4""","77° 32' 13.6""",BBMP,0.375,0.15,False,,27,In Sy no 27,1903,1903,,865.0,,,,,,,,,"Vacant land, buildings",,,Houses,public,2016-08-25,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,"Vacant land, Buildings",Houses,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,BUBSUHbkp_ku1-1318,Bikasipura Kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Bikasipura,12.898611,77.559278,12°53ʹ55.0ʺ,77°33ʹ33.4ʺ,BBMP,0.1,0.04,False,,1,In Sy no 1,1904,1904,,892.0,,,,,,,,,Buildings,,,Houses,private,2017-01-10,True,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Buildings,Houses,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,BUBSUHbkp_kr2-1319,Devarakere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Bikasipura,12.898194,77.555694,12°53ʹ53.5ʺ,77°33ʹ20.5ʺ,BBMP,7.375,7.15 (SSLR,False,SSLR,9,9,1904,1904,,883.0,3.0,0,1,1,1,0,0,mesh,"Temple, settlement & vacant land",clean,religious activity,,,2016-01-19,False,,True,,,partial,growing on bank,emergent;submerged;rooted floating,birds,none,none,none,none,No,0.20 1/2,0.5125,E,Garbage,none,none,partial,No,vol2_south,26,empri-2018,main;waterQuality;issues;atlas,,Mesh,Clean water,Religious activity,Partially,Partial,Growing on Bank,"E, S & R.Flo.",Birds,No,,No,No,East,No,"Temple, S & Vl.",,No,Garbage,No,BBMP,BUBSUHbkp_kr2-1319,Devara Kere,,≈ 1904,,,7.15,Rain & drain fed,,Dore Kere,Urban,2,,,,,,Yes,,,Temple use,,,,Dumping of garbage wastes,,No flow through Storm water drain,,Yes,Dumping of wastes: Fence the lake and create awareness,204
1323,BUBSUHbys_kr1-1320,Byrasandra Kere,,kere,existing,Seasonal (R),seasonal,Seasonal (R),Bengaluru Urban,Bengaluru South,Uttarahalli,Byrasandra,12.930667,77.595083,12°55ʹ50.4ʺ,77°35ʹ42.3ʺ,BDA,15.275,15.11,False,,56,56,1902,1902,True,922.0,4.0,0,1,1,0,1,0,mesh,Settlement,clean,fishing,,,2016-02-04,False,,True,,,partial,growing on bank,emergent,birds;butterflies;dragonflies,none,NE;SE;SW,public;BDA,Graveyard & houses,8,3.04,3.1,S,Garbage,none,none,partial,RTC- 4.35 a-g is acquired for BDA,vol2_south,26,empri-2018,main;waterQuality;issues;atlas,,Mesh,Clean water,Fisheries,Partially,Partial,Growing on Bank,Emergent,"B, Bf & Dr.fly",No,,Public & BDA,"NE, SE, SW",South,No,Settlement,,Graveyard & Houses,Garbage,No,BDA,BUBSUHbys_kr1-1320,Byrasandra Kere,,≈ 1902,2015-16,BDA,15.11,Rain & drain fed,,Tavare Kere,Urban,3,,,,,,Yes,,,,,,,Dumping of garbage wastes,,No flow through Storm water drain,House graveyard (8%),Yes,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness,206
1324,BUBSUHchn_ku1-1321,Channasandra kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Channasandra,12.906389,77.511694,12°54ʹ23.0ʺ,77°30ʹ42.1ʺ,BBMP,0.875,0.35,False,,36,In Sy no 36,1904,1904,,810.0,,,,,,,,,Coconut plantation & houses,,,Vacant land & coconut plantation,farmers,2017-01-10,True,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmer,,,,,Coconut plantation & houses,Vacant land & Coconut Plant.,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,BUBSUHckl_kr1-1322,Chikkakallasandra Kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Chikkalasandra,12.915306,77.552972,12°54ʹ55.1ʺ,77°33ʹ10.7ʺ,BDA,12.65,12.26,False,,76,76,1856,1856,,889.0,,,,,,,,,,,,"Settlem., vacant land & BMTC bus stand",public,2016-01-22,True,"Mr. Vinaya Kumar, IFS (3.11.16)",False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Public,,,,,,"Settlem., Vl & BMTC bus stand",,,,BDA,BUBSUHckl_kr1-1322,Chikkalasandra Kere,,≈ 1856,,BDA,12.26,,,,NA NA – not applicable,,,,,,,,,,,,,,,,,,,,208
1326,BUBSUHcuk_kr1-1323,Chunchana ghatta Kere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Chunchana ghatta,12.889083,77.575,12°53ʹ20.7ʺ,77°34ʹ30.0ʺ,KFD,22.775,22.31,False,,70,70,1937,1937,,922.0,3.0,0,1,1,0,0,0,mesh,Settlement & bus stop,polluted,cattle feeding,,,2016-01-20,False,,True,,,partial,growing on bank,emergent;submerged,birds,cattle,SW;W,government;private,Road & houses,1,1.08 1/2,1.2125,NW;SW,Garbage waste,SW,Sewage,partial,No,vol2_south,26,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,Cattle feeding,Partially,Partial,Growing on Bank,E & S,Birds,Cattle,,Govt. & Private,SW & W,"NW,SW",SW,S & Bus stop,,Road & Houses,Garbage waste,Sewage,Forest,BUBSUHcuk_kr1-1323,Chunchanaghatta Kere,,≈ 1937,,KFD,22.31,Rain & drain fed,,Sarkki Kere,Urban,2,,,,,,,,,Cattle feeding,,,Cattle,Dumping of garbage wastes.,Sewage,No flow through Storm water drain,Road & houses (1%),,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness,210
1327,BUBSUHdsh_ku1-1324,Dasarahalli kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Dasarahalli,12.936694,77.578278,"12° 56' 12.1""","77° 34' 41.8""",BBMP,0.25,≈0.10,True,,8,In Sy no 8,1904,1904,,931.0,,,,,,,,,"SRS travel bus depot, park & buildings",,,Sarana college,private,2016-08-25,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"SRS Travel Bus depo, Park & Buildings",Sarana College,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,BUBSUHdks_kr1-1325,Doddakallasandra kere,,kere,existing,Perennial,perennial,Perennial,Bengaluru Urban,Bengaluru South,Uttarahalli,Doddakalasandra,12.881222,77.562944,12°52ʹ52.4ʺ,77°33ʹ46.6ʺ,KFD,21.4,21.16,False,,27,27,1904,1904,,903.0,3.0,1,2,1,0,0,0,mesh;wall,"Settlement, school & vacant land",clean;polluted,cattle feeding,,,2016-01-19,False,,True,,,partial,growing on bank,emergent;submerged;rooted floating,birds,cattle,NE;SE,public,Buildings & temple,10,1.35,1.875,SW,Garbage & construction debris,SE,Sewage,partial,No,vol2_south,26,empri-2018,main;waterQuality;issues;atlas,,Mesh& wall,Clean &Polluted water,Cattle feeding,Partially,Partial,Growing on Bank,"E, S & R.Flo.",Birds,Cattle,,Public,NE & SE,SW,SE,"S, School & Vl.",,Buildings & temple,Garbage & CD,Sewage,Forest,BUBSUHdks_kr1-1325,Doddakallasandra Kere,,≈ 1904,,KFD,21.16,Rain & drain fed,,,Urban,2,,,,Yes,,,,,Cattle feeding,,,Cattle,Dumping of garbage wastes & construction debris,Sewage,No flow through Storm water drain,"Building, temple (10%)",,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness,212
1329,BUBSUHdks_gk2-1326,Doddakallasandra Katte,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Doddakalasandra,12.876694,77.561917,"12° 52' 36.1""","77° 33' 42.9""",BBMP,1.225,1.09 (SSLR,False,SSLR,18,In Sy no 18,1904,1904,,929.0,,,,,,,,,"Layout, buildings, vacant land",,,Vacant land (mud dump),unknown,2016-08-23,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,"Layout, Buildings, Vacant land",Vacant land (Mud Dump),,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,BUBSUHdks_kr3-1327,Govt. vodanakunte,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Gollahalli,12.851583,77.568472,12°51ʹ05.7ʺ,77°34ʹ06.5ʺ,BBMP,7.45,7.18,False,,34,34,1904,1904,,932.0,,,,,,,,,Layout & hallow brick factory,,,Layout,private,2016-02-06,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,26,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Private,,,,,L & Hallow brick factory,Layout,,,,BBMP,BUBSUHdks_kr3-1327,Govt. Vodana Kunte,,≈ 1904,,BBMP,7.18,,,,,,,,,,,,,,,,,,,,,,,,214
1331,BUBSUHglh_kr1-1328,Subbedarana kere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Gollahalli,12.847556,77.566833,12°50ʹ51.2ʺ,77°34ʹ00.6ʺ,BBMP,19.25,19.10,False,,38,38,1904,1904,,915.0,1.0,0,1,0,0,0,0,wall,"Vacant land, NICE road & hill",clean,none,,,2016-02-06,False,,True,,,complete,growing on bank,emergent;rooted floating,butterflies;dragonflies,none,N,NICE,NICE road,5,8,8.0,NW,Garbage & construction debris,none,none,complete,"RTC for sy no 38, 0.30 a-g is for building Bangalore -Mysore Express and land is leased to NICEL",vol2_south,27,empri-2018,main;waterQuality;issues;atlas,,wall,Clean water,No,Complete,Complete,Growing on Bank,E & R.Flo.,Bf. & Dr.fly,No,,NICE,North,NW,No,"Vl., NICE road & Hill",,NICE road,Garbage & CD,No,BBMP,BUBSUHglh_kr1-1328,Subbedarana Kere,,≈ 1904,,BBMP,19.10,Rain & drain fed,,,Urban,1,,,,,,,,,,,,,Dumping of garbage wastes & construction debris,,No flow through Storm water drain,Nice road (5%),,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness,216
1332,BUBSUHgtg_ku1-1329,Gottigere kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Gottigere,12.857528,77.588583,"12° 51' 27.1""","77° 35' 18.9""",BBMP,0.325,0.13,False,,1,1,1904,1904,,886.0,,,,,,,,,"Urban, vacant land, temple",,,Hospital & road,government,2016-08-12,False,,False,,,,,,,,,,,,,,,,,,,,vol2_south,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Urban, Vacant land, Temple",Hospital & Road,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,BUBSUHgtg_kr2-1330,Gottigere Kere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Gottigere,12.855611,77.592472,12°51ʹ20.2ʺ,77°35ʹ32.9ʺ,BDA,37.325,37.13,False,,71,71,1904,1904,,952.0,3.0,0,5,0,0,0,0,mesh,"Settlement, agriculture, apartment, NICE road, plantation & temple",polluted,fishing;cattle feeding,,,2016-02-06,False,,True,,,complete,growing on bank,emergent;rooted floating,birds,none,S,NICE,NICE road,5,2.22,2.55,NE;SE;NW,Garbage & construction debris,NE;W;NW,Sewage,complete,RTC-5.0 a-g is leased to NICEL,vol2_south,27,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,Fishery & Cf,Complete,Complete,Growing on Bank,E & R.Flo.,Birds,No,,NICE,South,"NE,SE,NW","NE,W,NW","S, A, Apartment, NICE road, Pl. & Temple",,NICE road,Garbage & CD,Sewage,BDA,BUBSUHgtg_kr2-1330,Gottigere Kere,,≈ 1904,,BDA,37.13,Rain & drain fed,Basavanapura Kere,,Urban,2,,,,,,Yes,,,Cattle feeding,,,,Dumping of garbage wastes construction debris,Sewage,Unable to Measure due to weeds,Nice road (5%),,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness;Sewage inflow: Provide UGD and connect it to STP,218
1334,BUBSUHgtg_ku3-1331,Gottigere kunte2,,kunte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Gottigere,12.842333,77.582667,"12° 50' 32.4""","77° 34' 57.6""",BBMP,0.5,0.20,False,,109,In Sy no 109,1904,1904,,947.0,1.0,0,0,0,0,0,0,none,Bhanarughatt a forest & houses,dry,none,,,2016-09-26,False,Completely filled with weeds,False,Dry,,complete,growing on bank,none,none,cow,none,none,none,No,No,,none,none,none,none,complete,Inside Bannerghatta Park,vol2_south,27,empri-2018,main;waterQuality;issues,,No,Dry,No,Complete,Complete,Gr. on bank,No,No,Cow,,No,No,No,No,Bhanarughatt a Forest & Houses,,No,No,No,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,BUBSUHgtg_ku4-1332,Gottigere kunte3,,kunte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Gottigere,12.862361,77.583556,"12° 51' 44.5""","77° 35' 00.8""",BBMP,0.2,0.08,False,,11,In Sy no 11,1904,1904,,912.0,2.0,0,1,1,0,0,0,wall,"Vacant land, coconut plantation, layout & building",muddy,none,,,2016-08-12,False,,False,Not Sampled,,partial,growing on bank,none,birds;butterflies,none,none,none,none,No,No,,none,none,none,none,partial,No,vol2_south,27,empri-2018,main;waterQuality;issues,,wall,Muddy,No,Partially,Partially,Growing on bank,No,B & Butterfly,No,,No,No,No,No,"Vacant land, Coconut plant., Layout & Building",,No,No,No,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,BUBSUHgtg_kr5-1333,Subarayana kere,RBI layout kere,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru South,Uttarahalli,Gottigere,12.863472,77.584444,12°51ʹ48.5ʺ,77°35ʹ04.0ʺ,KFD;BDA,5.25,5.10,False,,12,12,1904,1904,,942.0,2.0,0,3,1,0,0,0,mesh,"Settlement, agriculture, plantation, temple & church",polluted,cattle feeding,,,2016-02-06,False,,True,,,partial,growing on bank,emergent;rooted floating,birds,none,NE;SE;SW,government;private,"Road, temple",10,0.27 1/2,0.6875,SW;W,Garbage waste,SW;NW,Sewage,partial,No,vol2_south,27,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,Cattle feeding,Partially,Partial,Growing on Bank,E & R.Flo.,Birds,No,,Govt. & Pvt.,"NE, SE, SW","SW,W","SW, NW","S, A, Pl., Temple & Church",,"Road, Temple",Garbage waste,Sewage,KFD/ BDA,BUBSUHgtg_kr5-1333,Subarayana Kere,,≈ 1904,,BDA,5.10,Rain & drain fed,,,Urban,1,,,,,Yes,,,,Cattle feeding,,,,Dumping of garbage wastes.,Sewage,Unable to Measure due to weeds,Road & temple (10%),,Encroachment: Survey by the consent Authority & evict the encroachment;Dumping of wastes: Fence the lake and create awareness;Sewage inflow: Provide UGD and connect it to STP,220
1337,BUBSUHgbl_kr1-1334,Dasanakatte-1,"Venkatayyankere, Gubbalal a lake",kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru South,Uttarahalli,Gubbalalu,12.889667,77.544611,12°53ʹ22.8ʺ,77°32ʹ40.6ʺ,BBMP,4.375,4.15,False,,8,8,1869,1869,,866.0,,,,,,,,,"Layout, apartment & bulidings",,,Layout with few buildings,private,2016-01-23,False,,False,,,,,,,,,,,,3.29,3.725,,,,,,,vol2_south,27,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Private,,,,,"L, Apartment & bulidings",Layout with few buildings,,,,BBMP,BUBSUHgbl_kr1-1334,Dasana Katte 1,,≈ 1869,,BBMP,4.15,,,,,,,,,,,,,,,,,,,,,,,,222
