dataset,stationId,stationCode,stationName,sampleLocation,date,lat,lon,parameter,value,qualifier,belowDetection,detectionLimit,unit,statistic,rawValue,source
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,lead,0.11,,false,,mg/L,,0.11,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,copper,0.10,,false,,mg/L,,0.10,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,manganese,0.61,,false,,mg/L,,0.61,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,aluminium,68.9,,false,,mg/L,,68.9,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,chloride,22,,false,,mg/L,,22,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,phosphate,0.2,,false,,mg/L as P,,0.2,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,tss,67.5,,false,,mg/L,,67.5,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,nitrate,27.00,,false,,mg/L as NO3,,27.00,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,totalHardness,88,,false,,mg/L as CaCO3,,88,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,fluoride,0.56,,false,,mg/L,,0.56,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,ph,7.72,,false,,,,7.72,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,zinc,0.10,,false,,mg/L,,0.10,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,lead,0.12,,false,,mg/L,,0.12,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,copper,0.08,,false,,mg/L,,0.08,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,manganese,0.56,,false,,mg/L,,0.56,dmg-2011
dmg-2011,attur-lake-middle,,Attur Lake,Middle,2011,,,aluminium,63.4,,false,,mg/L,,63.4,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,chloride,25,,false,,mg/L,,25,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,phosphate,0.05,,false,,mg/L as P,,0.05,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,tss,76,,false,,mg/L,,76,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,dissolvedOxygen,7,,false,,mg/L,,7,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,nitrate,36.30,,false,,mg/L as NO3,,36.30,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,totalHardness,76,,false,,mg/L as CaCO3,,76,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,fluoride,0.37,,false,,mg/L,,0.37,dmg-2011
dmg-2011,attur-lake-inlet,,Attur Lake,Inlet,2011,,,ph,7.63,,false,,,,7.63,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,chloride,109,,false,,mg/L,,109,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,phosphate,2.05,,false,,mg/L as P,,2.05,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,tss,72.5,,false,,mg/L,,72.5,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,dissolvedOxygen,9,,false,,mg/L,,9,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,cod,96.00,,false,,mg/L,,96.00,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,nitrate,7.08,,false,,mg/L as NO3,,7.08,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,totalHardness,240,,false,,mg/L as CaCO3,,240,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,fluoride,0.18,,false,,mg/L,,0.18,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,ph,8.74,,false,,,,8.74,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,zinc,0.12,,false,,mg/L,,0.12,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,bagalkunte-kere-inlet,,Bagalkunte Kere,Inlet,2011,,,manganese,0.30,,false,,mg/L,,0.30,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,chloride,123,,false,,mg/L,,123,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,phosphate,0.2,,false,,mg/L as P,,0.2,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,tss,8.5,,false,,mg/L,,8.5,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,dissolvedOxygen,5.8,,false,,mg/L,,5.8,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,cod,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,nitrate,4.31,,false,,mg/L as NO3,,4.31,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,totalHardness,260,,false,,mg/L as CaCO3,,260,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,fluoride,0.65,,false,,mg/L,,0.65,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,ph,7.47,,false,,,,7.47,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,zinc,0.06,,false,,mg/L,,0.06,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,copper,0.01,,false,,mg/L,,0 01,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,manganese,0.41,,false,,mg/L,,0.41,dmg-2011
dmg-2011,balajinagar-kere-inlet,,Balajinagar Kere,Inlet,2011,,,aluminium,0.79,,false,,mg/L,,0.79,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,chloride,412,,false,,mg/L,,412,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,phosphate,0.55,,false,,mg/L as P,,0.55,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,tss,1,,false,,mg/L,,1,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,dissolvedOxygen,5.4,,false,,mg/L,,5.4,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,cod,57.60,,false,,mg/L,,57.60,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,nitrate,8.02,,false,,mg/L as NO3,,8.02,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,totalHardness,500,,false,,mg/L as CaCO3,,500,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,fluoride,0.52,,false,,mg/L,,0.52,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,ph,8.36,,false,,,,8.36,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,zinc,0.07,,false,,mg/L,,0.07,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,basapura-kere-l-inlet,,Basapura kere(l),Inlet,2011,,,manganese,0.05,,false,,mg/L,,0.05,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,chloride,132,,false,,mg/L,,132,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,phosphate,0.01,,false,,mg/L as P,,0.01,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,tss,78,,false,,mg/L,,78,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,cod,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,nitrate,2.34,,false,,mg/L as NO3,,2.34,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,totalHardness,184,,false,,mg/L as CaCO3,,184,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,fluoride,0.48,,false,,mg/L,,0 48,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,ph,8.35,,false,,,,8.35,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,zinc,0.06,,false,,mg/L,,0.06,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,begur-tank-middle,,Begur tank,Middle,2011,,,manganese,0.10,,false,,mg/L,,0.10,dmg-2011
dmg-2011,begur-tank-outlet,,Begur tank,Outlet,2011,,,chloride,185,,false,,mg/L,,185,dmg-2011
dmg-2011,begur-tank-outlet,,Begur tank,Outlet,2011,,,phosphate,0.11,,false,,mg/L as P,,0.11,dmg-2011
