osmId,name,nameKn,place,lat,lon,source
node/11594317106,5th Block,,neighbourhood,12.9599794,77.4821948,osm-places-2026-09
node/11594317107,4th Block,,neighbourhood,12.9444211,77.4752425,osm-places-2026-09
node/11594317108,3rd Block,,neighbourhood,12.9445884,77.4822806,osm-places-2026-09
node/11594317109,2nd Block,,neighbourhood,12.9331281,77.471981,osm-places-2026-09
node/11594317110,1st Block,,neighbourhood,12.9312041,77.4791907,osm-places-2026-09
node/11598166626,Adisanahatty,,hamlet,12.7777226,77.7157187,osm-places-2026-09
node/11613188572,Anand Nagar Colony,,neighbourhood,13.0313386,77.5906312,osm-places-2026-09
node/11618114061,JP Nagar 4th Phase,ಜೆಪಿನಗರ ೪ನೇ ಹಂತ,quarter,12.9046372,77.5976425,osm-places-2026-09
node/11622003974,HRBR Layout 1st Block,ಎಚ್‌ಆರ್‌ಬಿಆರ್ ಲೇಔಟ್,quarter,13.0198092,77.6452517,osm-places-2026-09
node/11622003975,HRBR Layout 2nd Block,ಎಚ್‌ಆರ್‌ಬಿಆರ್ ಲೇಔಟ್,quarter,13.02404,77.6400268,osm-places-2026-09
node/11622003976,HRBR Layout 1st Block,ಎಚ್ರ್‌ಬಿಆರ್ ಲೇಔಟ್ ೧ನೇ ಬ್ಲಾಕ್,quarter,13.0204703,77.6241642,osm-places-2026-09
